当前价-0,成交总量-1,成交总额-2,持仓量-3,昨结算-4,成交笔数-5,市盈率1-6,开盘价-8,最高价-9,时间戳-G,最低价-a,今结算-b,前收盘-c,多档委买价-d,多档委买量-e,多档委卖价-f,多档委卖量-g,,
8.72,589777,516199952,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:27,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 540, 7990, 12768, 12581, 9219"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3243, 1489, 1540, 2363, 2605",58977700,8.752459862
8.72,589851,516264480,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:30,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 466, 7990, 12774, 12581, 9209"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3244, 1489, 1540, 2363, 2605",58985100,8.75245579
8.72,589870,516281048,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:33,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 464, 7992, 12779, 12581, 9209"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3244, 1489, 1540, 2363, 2605",58987000,8.752454744
8.72,589875,516285408,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:36,8.69,0,8.88," 8.7200000000000006, 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997"," 459, 7992, 12779, 12551, 9209"," 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998, 8.7699999999999996"," 3244, 1489, 1540, 2363, 2605",58987500,8.752454469
8.72,590334,516685656,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:39,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7990, 12779, 12551, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 542, 3247, 1489, 1540, 2363",59033400,8.752429235
8.71,590417,516758022,0,0,0,6.7,8.85,8.9, 2018-07-16 14:08:42,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7980, 12779, 12551, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 469, 3234, 1489, 1540, 2363",59041700,8.752424507
8.71,590442,516779807,0,0,0,6.7,8.85,8.9, 2018-07-16 14:08:45,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7965, 12784, 12551, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 562, 3234, 1489, 1540, 2363",59044200,8.75242288
8.72,590464,516798990,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:48,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 7990, 12794, 12551, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 543, 3234, 1489, 1540, 2363",59046400,8.752421655
8.71,590516,516844332,0,0,0,6.7,8.85,8.9, 2018-07-16 14:08:51,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8095, 12685, 12551, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 493, 3234, 1489, 1540, 2363",59051600,8.752418766
8.72,590545,516869618,0,0,0,6.71,8.85,8.9, 2018-07-16 14:08:54,8.69,0,8.88," 8.7100000000000009, 8.6999999999999993, 8.6899999999999995, 8.6799999999999997, 8.6699999999999999"," 8093, 12685, 12553, 9279, 4438"," 8.7200000000000006, 8.7300000000000004, 8.7400000000000002, 8.75, 8.7599999999999998"," 476, 3234, 1489, 1540, 2363",59054500,8.75241714
